CICompoundList,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SMILES,CAS
Name,Cas,Code,Mw,Formula,Mol File,,
{[1-(4-fluorophenyl)-1H-pyrazol-4-yl]methyl}methylamine hydrochloride,1255717-50-0,,241.69,C11H13ClFN3,Cl.CNCc1cnn(c1)-c1ccc(F)cc1,CNCc1cnn(-c2ccc(F)cc2)c1.Cl,1255717-50-0
{4-[(tert-butoxycarbonyl)amino]phenyl}acetic acid,81196-09-0,,251.282,C13H17NO4,CC(C)(C)OC(=O)Nc1ccc(CC(O)=O)cc1,CC(C)(C)OC(=O)Nc1ccc(CC(=O)O)cc1,81196-09-0
{4-[(2-fluorophenyl)sulfonyl]piperazino}(phenyl)methanone,478045-50-0,,348.39,C17H17FN2O3S,Fc1ccccc1S(=O)(=O)N1CCN(CC1)C(=O)c1ccccc1,O=C(c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2F)CC1,478045-50-0
Zirconium tetrachloride,10026-11-6,,233.02,Cl4Zr,Cl[Zr](Cl)(Cl)Cl,[Cl-].[Cl-].[Cl-].[Cl-].[Zr+4],
Zirconium hydroxide,14475-63-9,,159.252,H4O4Zr,O[Zr](O)(O)O,[OH-].[OH-].[OH-].[OH-].[Zr+4],14475-63-9
Zirconium dioxide,1314-23-4,,123.222,O2Zr,[O--].[O--].[Zr+4],[O-2].[O-2].[Zr+4],53801-45-9
ZINC-COPPER COUPLE,53801-63-1,,128.93,CuZn,[Cu].[Zn],,53801-63-1
ZINC TRIFLUOROMETHANESULFONATE,54010-75-2,,363.51,C2F6O6S2Zn,[Zn++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Zn+2],54010-75-2
Zinc sulfate monohydrate,7446-19-7,,179.45,H2O5SZn,O.[Zn++].[O-]S([O-])(=O)=O,O.O=S(=O)([O-])[O-].[Zn+2],7446-19-7
ZINC PERCHLORATE,10025-64-6,,372.36,Cl2H12O14Zn,O.O.O.O.O.O.[Zn++].[O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O,[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-].[Zn+2],13637-61-1
Zinc oxide,1314-13-2,,81.38,OZn,O=[Zn],[O-2].[Zn+2],1314-13-2
Zinc iodide,10139-47-6,,319.19,I2Zn,I[Zn]I,[I-].[I-].[Zn+2],
ZINC CYANIDE,557-21-1,,117.42,C2N2Zn,N#C[Zn]C#N,[C-]#N.[C-]#N.[Zn+2],
Zinc chloride hydrate,29604-34-0,,0,,,O.[Cl-].[Cl-].[Zn+2],21351-91-7
Zinc chloride,7646-85-7,,136.28,Cl2Zn,Cl[Zn]Cl,[Cl-].[Cl-].[Zn+2],
Zinc bromide,7699-45-8,,225.19,Br2Zn,Br[Zn]Br,[Br-].[Br-].[Zn+2],7699-45-8
